p,gmres_iters_no_prec,gmres_time_no_prec,gmres_iters_with_spai,gmres_time_with_spai,spai_build_time,identity_diff_frobenius,condition_number_est
0.0,15,4.5e-05,15,2.3e-05,0.005162,2.437352,37.861138
0.2,15,3.6e-05,15,2.8e-05,0.005443,2.379438,19.317167
0.4,15,5e-05,15,2.5e-05,0.006214,2.248807,116.543722
0.6,15,3.7e-05,15,4e-05,0.006933,2.119315,22.642557
0.8,15,4.5e-05,15,2.5e-05,0.008016,1.909653,30.906223
1.0,15,3.7e-05,15,2.3e-05,0.008589,1.729224,9.077288
1.2,15,3.5e-05,15,2.3e-05,0.009657,1.729224,19.380191
1.4,15,3.3e-05,15,2.3e-05,0.011998,1.701408,12.614356
1.6,15,5.7e-05,15,2.3e-05,0.013951,1.616113,29.796369
1.8,15,3.3e-05,15,2.3e-05,0.014652,1.463189,7.578247
2.0,15,3.4e-05,15,2.6e-05,0.017393,0.772739,1.782744
