,p,condition number,identity diference
0,0.0,175355.1074760879,27.370027221990775
1,0.1,173356.23561595575,27.305513397404916
2,0.2,169132.157611716,27.161351247834528
3,0.3,1996520.2103741018,26.99383769351239
4,0.4,360983.98605586257,26.978773872996634
5,0.5,327942.8399850455,27.200778615037763
6,0.6,1498045.686467621,28.059274143777184
7,0.7,7477215.544157994,37.82889481035244
8,0.8,7922863.422068083,45.93390866421874
9,0.9,23691455.78038626,48.31155508391393
10,1.0,1997417.7696700622,49.84063161577948
11,1.1,173094.20537966376,27.223839006399146
12,1.2,271240.03619425866,26.818966392937128
13,1.3,353732.9726370735,26.417085366508676
14,1.4,450913.5146408931,26.150330382639424
15,1.5,302605.5557164184,25.91163675700991
16,1.6,276337.0565996576,26.052056508508638
17,1.7,3159513.25293982,26.676624936401943
18,1.8,40803360.313776895,28.88929901837936
19,1.9,1415053.575768653,31.18822470812357
20,2.0,1997417.7696700622,49.84063161577948
